trade_id,fill_time,direction,route,m15_background,m5_direction,m5_phase,context_class,signal_basis,human_review_flags,plan_evidence,issue_bucket
T001,2025.03.06 06:55:00,BUY,A_HEALTHY_FIRST_RESUME,M15_BULL,M5_BEAR,PULLBACK,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T003,2025.03.26 06:00:00,BUY,A_HEALTHY_FIRST_RESUME,M15_BULL,M5_BEAR,REVERSAL,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T004,2025.03.26 08:30:00,BUY,B_COMPLEX_H2_L2,M15_BULL,M5_BEAR,PULLBACK,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T006,2025.03.27 16:55:00,BUY,A_HEALTHY_FIRST_RESUME,M15_BULL,M5_BEAR,RESUME,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T007,2025.04.07 21:30:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T008,2025.04.08 01:30:00,BUY,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,RESUME,TACTICAL_LOCAL_TREND,HEALTHY_PULLBACK+FIRST_RECOVERY_SIGNAL,M15与M5分歧的战术局部趋势,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T009,2025.04.08 14:40:00,SELL,B_COMPLEX_H2_L2,M15_BEAR,M5_BULL,PULLBACK,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T010,2025.04.17 09:35:00,BUY,B_COMPLEX_H2_L2,M15_BULL,M5_BEAR,WEAKENING,PRIMARY_ALIGNED,COMPLEX_PULLBACK+TRUE_SECOND_TEST+NEW_SIGNAL,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T012,2025.04.23 19:55:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,RESUME,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
T013,2025.04.23 22:50:00,SELL,A_HEALTHY_FIRST_RESUME,M15_BEAR,M5_BULL,WEAKENING,PRIMARY_ALIGNED,HEALTHY_PULLBACK+FIRST_RECOVERY+STRONG_ENGULF_CLOSE,信号时M5状态仍处于反向回调/未翻向，需人工判断恢复位置,SL/Target方向、风险距离和成交时RR检查通过,入场信号位置待人工判断
